Title,Company,Location,Salary,Description
Graduate Data Scientist - Modelling (Sep 2022),Funding Circle UK,London EC4V,Negotiable,"Using specific tools and languages such as R, Python, SQL and Tableau for reporting and analysis on our AWS data platform."
Data & Analytics - Internship,NatWest Group,London,"£21,500 a year","And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…"
"Research Data Scientist, Inter",Facebook App,London,Negotiable,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2."
Multiple Data Scientist/Senior Analyst roles (SQL or Tableau...,Bank of England,London,"£45,900 - £59,400 a year","Experience in building and supporting data models, data solutions or data visualisations."
"Data Scientist, Analytics Inter",Facebook App,London,Negotiable,Perform large-scale data analysis to extract useful business insights.
Data Scientist,Bank of England,London,"£45,900 - £55,000 a year",Experience in data visualisation or other work that involves aggregating and presenting data in a clear and concise way.
"Data Scientist, Personal Banking",Monzo,"London
•
Remote",Negotiable,90% of day-to-day data-driven decisions are covered by self-serve analytics through Looker which gives data scientists the head space to focus on more impactful…
Clinical Data Scientist - NLP Cogstack,Guy's and St Thomas' NHS Foundation Trust,London SE1 7NJ,"£54,223 - £60,316 a year",A consortium of NHS Trusts have set out with the support of a NHSX Artificial Intelligence (AI) Award to test the use of Natural Language Processing AI in the…
Machine Learning Engineer Graduate (Recommendation) - 2022 S...,TikTok,London,Negotiable,"Interest in at least one of the following areas: machine learning, data mining, algorithms."
Data Science at M&S,Marks & Spencer,London,Negotiable,SQL to retrieve and manipulate data.
"Data Scientist, Analytics (University Graduate)",Facebook App,London,Negotiable,Experience in presenting qualitative and quantitative data.
Data Scientist,Cantine,London,Negotiable,Assess and improve the effectiveness of existing data sources and data-gathering techniques.
Data Scientist,TikTok,London,Negotiable,Experience navigating and working with very large data sets and developing large and complex data pipelines using SQL/HQL.
Data Scientist Associate - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable understanding and experience in data structure, data mining and data analysis techniques with real world data."
People Analytics Data Scientist,MasterCard,"London
•
Temporarily Remote",Negotiable,"Ability to develop a nuanced business understanding, testable hypotheses, and meaningful findings from data – able to find the story in the data."
Data Scientist,Gios technologies,London,£400 - £450 a day,The role will suit an experienced data scientist analyst who can quickly assimilate information and translate knowledge to coding of systems that meet business…
Lead Data Scientist - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable experience in data structure, data mining and data analysis techniques with real world data."
Head of Marketing Analytics,Monzo,London,Negotiable,You have experience hiring and managing a team of high performing data scientists and analysts.
Data Scientist,Ralph Lauren,London,Negotiable,"Strong ability using a variety of data mining / data analysis methods, using a variety of data tools, building and implementing models, using / creating…"
Data Science - Inter,Argus Media,London WC1X 8NL,Negotiable,Experience with exploratory data analysis and data visualisation.
Data Scientist,Credit Suisse,London,Negotiable,The data scientists have background either Masters or PhDs.
2022 AI & Data Science Analyst Program - Summer Internship (...,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Knowledge of machine learning / data science theory, techniques and tools."
"Senior Data Scientist, Borrowing",Monzo,"London
•
Remote",Negotiable,"We have a strong culture of data-driven decision making across the whole company - and want to embed this into Monzo Flex, using powerful, real-time analytics…"
2022 AI & Data Science Associate Program - Off-Cycle Interns...,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Knowledge of machine learning / data science theory, techniques and tools."
Machine Learning Scientist (DS3),Asos.com,London,Negotiable,"Experience accessing and combining data from multiple sources and building data pipelines, including a good knowledge of SQL."
Data Scientist,G-Research,London,Negotiable,Demonstrable proficiency in statistical data analysis and data visualisation.
Machine Learning Engineer Graduate (Recommendation) - 2022 S...,TikTok,London,Negotiable,"Interest in at least one of the following areas: machine learning, data mining, algorithms."
CTO VP Data Scientist,"JPMorgan Chase Bank, N.A.",London,Negotiable,Help the LOB stakeholders innovate through data-driven decisioning by analyzing data from diverse data sources to create rich insights that enable better…
"Senior Data Scientist, Payments",Monzo,"London
•
Remote",Negotiable,90% of day-to-day data-driven decisions are covered by self-serve analytics through Looker which gives data scientists the head space to focus on more impactful…
Data & Analytics - Internship,NatWest Group,London,"£21,500 a year","And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…"
